ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0051785	positive regulation of nuclear division	9/430	51/11986	0.176470588235294	4.91901504787962	5.41003765392978	7.21253330604339e-05	0.00246656203664432	0.00228615052976493	CDC20/SPHK1/RAD51AP1/NUSAP1/DLGAP5/SKA1/AURKA/RGCC/DMRT1	9
GO:0061351	neural precursor cell proliferation	15/430	132/11986	0.113636363636364	3.16754756871036	4.8302835062329	7.59192962339633e-05	0.00257411836034301	0.00238583987175199	MELK/NFIB/NOTCH1/SOX10/KIF14/SIX3/PAX6/MDK/VEGFA/ID4/RACGAP1/CX3CL1/PDE9A/NES/ASPM	15
GO:0007100	mitotic centrosome separation	5/430	14/11986	0.357142857142857	9.95514950166113	6.46700184299638	8.88718721436881e-05	0.00298775183723738	0.00276921899552099	RANBP1/CHEK1/AURKA/NEK2/KIF11	5
GO:0000281	mitotic cytokinesis	11/430	78/11986	0.141025641025641	3.93100775193798	5.00949947941269	9.9267148024993e-05	0.0033091829934046	0.00306713974393012	STMN1/CDCA8/KIF4A/CEP55/PLK1/AURKB/KIF20A/NUSAP1/ECT2/RACGAP1/KIF23	11
GO:0070192	chromosome organization involved in meiotic cell cycle	8/430	42/11986	0.19047619047619	5.3094130675526	5.39656425572113	0.000103725853893955	0.00342900385331101	0.00317819655834724	CCNE1/SMC4/SMC2/NCAPH/TRIP13/CCNE2/MSH5/BRIP1	8
GO:2000177	regulation of neural precursor cell proliferation	11/430	79/11986	0.139240506329114	3.8812481601413	4.95612800485408	0.000111674578518714	0.00366126490069206	0.00339346935855475	NOTCH1/SOX10/SIX3/PAX6/MDK/VEGFA/ID4/CX3CL1/PDE9A/NES/ASPM	11
GO:0072677	eosinophil migration	6/430	23/11986	0.260869565217391	7.27158746208291	5.80725411302004	0.000123553346055142	0.00401750921148153	0.00372365692640733	CX3CL1/CCL2/CCL8/CCL3/CCL4/CCL7	6
GO:0032465	regulation of cytokinesis	11/430	80/11986	0.1375	3.83273255813954	4.90362340134784	0.0001253803007153	0.004043769536078	0.00374799649463878	CDCA8/PRC1/KIF14/PLK1/AURKB/KIF20A/ECT2/E2F8/RACGAP1/KIF23/AURKA	11
GO:0010812	negative regulation of cell-substrate adhesion	9/430	55/11986	0.163636363636364	4.56126849894292	5.10619176029308	0.000132774005149421	0.00424769740667543	0.00393700848885338	CDKN2A/NOTCH1/KANK1/GCNT2/FZD7/GBP1/MAP4K4/CX3CL1/MMP12	9
GO:0006959	humoral immune response	22/430	257/11986	0.0856031128404669	2.38613700117636	4.33303009601494	0.000144150847158924	0.0045747712854356	0.00424015923474628	NOTCH1/TNFRSF21/KLK5/CXCL10/ADM/SLPI/CX3CL1/CCL2/MMP7/CCL8/CCL3/CXCL11/KLK7/CCL4/DEFB1/RGCC/CCL18/CXCL2/H2BC11/CCL7/CXCL9/CXCL13	22
GO:0071621	granulocyte chemotaxis	13/430	110/11986	0.118181818181818	3.29424947145877	4.66284918448242	0.000152147274883518	0.00479022412272155	0.00443985322613307	PERP/MDK/VEGFA/CXCL10/CX3CL1/CCL2/CXADR/CCL8/CCL3/CCL4/CCL7/CXCL9/CXCL13	13
GO:1901976	regulation of cell cycle checkpoint	8/430	45/11986	0.177777777777778	4.95545219638243	5.12780531680349	0.000172400626788783	0.00538514398796144	0.00499125892559651	CDCA8/AURKB/CDK5RAP2/MAD2L1/NDC80/SKA1/RFWD3/BARD1	8
GO:1901970	positive regulation of mitotic sister chromatid separation	5/430	16/11986	0.3125	8.71075581395349	5.95332163601737	0.000182694956933117	0.0056621163605756	0.00524797273492911	CDC20/CDCA8/AURKB/DLGAP5/SKA1	5
GO:0007076	mitotic chromosome condensation	5/430	17/11986	0.294117647058824	8.1983584131327	5.72899541107527	0.000251236665854982	0.00767917406139769	0.00711749698073903	SMC4/PLK1/NUSAP1/SMC2/NCAPH	5
GO:0030010	establishment of cell polarity	14/430	131/11986	0.106870229007634	2.97894549973371	4.39307060173389	0.000251649263418629	0.00767917406139769	0.00711749698073903	KANK1/GPSM2/PTK7/PLK1/CDK5RAP2/MAD2L1/PAX6/NDC80/FAT1/SKA1/SPRY2/SPDL1/FSCN1/FERMT1	14
GO:0007098	centrosome cycle	13/430	116/11986	0.112068965517241	3.1238572574178	4.43382390301011	0.000259920127201901	0.00787101637106824	0.00729530738703285	RANBP1/KIF15/PLK1/CHEK1/CDK5RAP2/NDC80/CDK1/CEP192/AURKA/NEK2/KIF11/SAC3D1/CNTLN	13
GO:0007405	neuroblast proliferation	9/430	60/11986	0.15	4.18116279069767	4.76500759330103	0.000263476989683794	0.00791828195511825	0.0073391158290709	NOTCH1/SOX10/SIX3/PAX6/VEGFA/ID4/RACGAP1/CX3CL1/ASPM	9
GO:0022411	cellular component disassembly	28/430	382/11986	0.0732984293193717	2.0431511019116	3.99691141492128	0.000271999988214316	0.00809178104788343	0.0074999246945874	PLIN2/TPX2/CTSV/STMN1/KIF18B/KIF2C/PLAAT1/LPIN1/HMGA1/PLK1/AURKB/KIF18A/TOP2A/CDK1/ANKZF1/MID1/KLK5/DDIT4/MYC/MAP4K4/AURKA/CX3CL1/NES/MMP12/MMP7/KLK7/SPTBN2/FSCN1	28
GO:0010718	positive regulation of epithelial to mesenchymal transition	8/430	48/11986	0.166666666666667	4.64573643410853	4.88190788091328	0.000274707713251919	0.00809178104788343	0.0074999246945874	FOXC1/NOTCH1/EZH2/HDAC2/GCNT2/WWTR1/MDK/RGCC	8
GO:0000082	G1/S transition of mitotic cell cycle	17/430	181/11986	0.0939226519337017	2.61803931645895	4.2310177020317	0.000275369407981917	0.00809178104788343	0.0074999246945874	CDKN2A/TFDP1/SKP2/CCNE1/EZH2/CCNA2/KIF14/RRM2/CCNB2/RBL1/CDK1/ID4/CCNE2/MYC/RFWD3/CCL2/RGCC	17
GO:0007144	female meiosis I	4/430	10/11986	0.4	11.1497674418605	6.19369304519676	0.000288781333122441	0.0082416945935016	0.00763887312833537	CCNB2/TRIP13/NDC80/AURKA	4
GO:0036093	germ cell proliferation	4/430	10/11986	0.4	11.1497674418605	6.19369304519676	0.000288781333122441	0.0082416945935016	0.00763887312833537	PRDX4/FANCA/UCHL1/DMRT1	4
GO:0051782	negative regulation of cell division	4/430	10/11986	0.4	11.1497674418605	6.19369304519676	0.000288781333122441	0.0082416945935016	0.00763887312833537	AURKB/MYC/E2F8/ASPM	4
GO:0070303	negative regulation of stress-activated protein kinase signaling cascade	4/430	10/11986	0.4	11.1497674418605	6.19369304519676	0.000288781333122441	0.0082416945935016	0.00763887312833537	GSTP1/FOXM1/MYC/PBK	4
