feature	coefficient	abs_coefficient	feature_set	model	repeat	fold
EMT	0.0	0.0	clinical_plus_bi	elastic_net_logreg	1	1
ANGIOGENESIS	0.0	0.0	clinical_plus_bi	elastic_net_logreg	1	1
CYTOLYTIC_ACTIVITY	0.0	0.0	clinical_plus_bi	elastic_net_logreg	1	1
HALLMARK_MYOGENESIS	0.0	0.0	clinical_plus_bi	elastic_net_logreg	1	1
HALLMARK_FATTY_ACID_METABOLISM	0.0	0.0	clinical_plus_bi	elastic_net_logreg	1	1
HALLMARK_COMPLEMENT	0.0	0.0	clinical_plus_bi	elastic_net_logreg	1	1
HALLMARK_COAGULATION	0.0	0.0	clinical_plus_bi	elastic_net_logreg	1	1
HALLMARK_HEDGEHOG_SIGNALING	0.0	0.0	clinical_plus_bi	elastic_net_logreg	1	1
HALLMARK_HEME_METABOLISM	0.0	0.0	clinical_plus_bi	elastic_net_logreg	1	1
HALLMARK_IL2_STAT5_SIGNALING	0.0	0.0	clinical_plus_bi	elastic_net_logreg	1	1
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.0	0.0	clinical_plus_bi	elastic_net_logreg	1	1
HALLMARK_INFLAMMATORY_RESPONSE	0.0	0.0	clinical_plus_bi	elastic_net_logreg	1	1
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.0	0.0	clinical_plus_bi	elastic_net_logreg	1	1
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.0	0.0	clinical_plus_bi	elastic_net_logreg	1	1
HALLMARK_KRAS_SIGNALING_DN	0.0	0.0	clinical_plus_bi	elastic_net_logreg	1	1
HALLMARK_KRAS_SIGNALING_UP	0.0	0.0	clinical_plus_bi	elastic_net_logreg	1	1
HALLMARK_BILE_ACID_METABOLISM	0.0	0.0	clinical_plus_bi	elastic_net_logreg	1	1
HALLMARK_APOPTOSIS	0.0	0.0	clinical_plus_bi	elastic_net_logreg	1	1
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.0	0.0	clinical_plus_bi	elastic_net_logreg	1	1
CD8_NK	0.0	0.0	clinical_plus_bi	elastic_net_logreg	1	1
HALLMARK_P53_PATHWAY	0.0	0.0	clinical_plus_bi	elastic_net_logreg	1	1
HALLMARK_PANCREAS_BETA_CELLS	0.0	0.0	clinical_plus_bi	elastic_net_logreg	1	1
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.0	0.0	clinical_plus_bi	elastic_net_logreg	1	1
HALLMARK_PROTEIN_SECRETION	0.0	0.0	clinical_plus_bi	elastic_net_logreg	1	1
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.0	0.0	clinical_plus_bi	elastic_net_logreg	1	1
HALLMARK_ADIPOGENESIS	0.0	0.0	clinical_plus_bi	elastic_net_logreg	1	1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.0	0.0	clinical_plus_bi	elastic_net_logreg	1	1
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.0	0.0	clinical_plus_bi	elastic_net_logreg	1	1
HALLMARK_UV_RESPONSE_DN	0.0	0.0	clinical_plus_bi	elastic_net_logreg	1	1
HALLMARK_APICAL_SURFACE	0.0	0.0	clinical_plus_bi	elastic_net_logreg	1	1
HALLMARK_APICAL_JUNCTION	0.0	0.0	clinical_plus_bi	elastic_net_logreg	1	1
HALLMARK_ANGIOGENESIS	0.0	0.0	clinical_plus_bi	elastic_net_logreg	1	1
HALLMARK_DNA_REPAIR	0.0	0.0	clinical_plus_bi	elastic_net_logreg	1	1
ANTIGEN_PRESENTATION	0.0	0.0	clinical_plus_bi	elastic_net_logreg	1	1
HALLMARK_TGF_BETA_SIGNALING	0.0	0.0	clinical_plus_bi	elastic_net_logreg	1	1
HALLMARK_MITOTIC_SPINDLE	0.5083615351934356	0.5083615351934356	clinical_plus_bi	elastic_net_logreg	1	2
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.41550621168632185	0.41550621168632185	clinical_plus_bi	elastic_net_logreg	1	2
HYPOXIA	0.2357003586729411	0.2357003586729411	clinical_plus_bi	elastic_net_logreg	1	2
grade_2	-0.2301542756910541	0.2301542756910541	clinical_plus_bi	elastic_net_logreg	1	2
HALLMARK_ESTROGEN_RESPONSE_EARLY	-0.22635106363737806	0.22635106363737806	clinical_plus_bi	elastic_net_logreg	1	2
grade_3	0.2180552535649094	0.2180552535649094	clinical_plus_bi	elastic_net_logreg	1	2
HALLMARK_IL2_STAT5_SIGNALING	0.18026673743590918	0.18026673743590918	clinical_plus_bi	elastic_net_logreg	1	2
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-0.14001171238788337	0.14001171238788337	clinical_plus_bi	elastic_net_logreg	1	2
HALLMARK_XENOBIOTIC_METABOLISM	-0.10225273810586959	0.10225273810586959	clinical_plus_bi	elastic_net_logreg	1	2
TREG_MYELOID_SUPPRESSION	0.04046486988514901	0.04046486988514901	clinical_plus_bi	elastic_net_logreg	1	2
HALLMARK_HYPOXIA	0.026816403231229836	0.026816403231229836	clinical_plus_bi	elastic_net_logreg	1	2
HALLMARK_ESTROGEN_RESPONSE_LATE	-0.018824939610661447	0.018824939610661447	clinical_plus_bi	elastic_net_logreg	1	2
ECM_REMODELING	-0.011574485540235088	0.011574485540235088	clinical_plus_bi	elastic_net_logreg	1	2
HALLMARK_PEROXISOME	-0.010730698959666836	0.010730698959666836	clinical_plus_bi	elastic_net_logreg	1	2
suppression	0.0	0.0	clinical_plus_bi	elastic_net_logreg	1	2
immune_balance_ratio	0.0	0.0	clinical_plus_bi	elastic_net_logreg	1	2
ANGIOGENESIS	0.0	0.0	clinical_plus_bi	elastic_net_logreg	1	2
ANTIGEN_PRESENTATION	0.0	0.0	clinical_plus_bi	elastic_net_logreg	1	2
immune_balance_index	0.0	0.0	clinical_plus_bi	elastic_net_logreg	1	2
EMT	0.0	0.0	clinical_plus_bi	elastic_net_logreg	1	2
activation	0.0	0.0	clinical_plus_bi	elastic_net_logreg	1	2
TGF_BETA_SIGNALING	0.0	0.0	clinical_plus_bi	elastic_net_logreg	1	2
CD8_NK	0.0	0.0	clinical_plus_bi	elastic_net_logreg	1	2
grade_1	0.0	0.0	clinical_plus_bi	elastic_net_logreg	1	2
T_CELL_INFLAMED	0.0	0.0	clinical_plus_bi	elastic_net_logreg	1	2
IFNG_RESPONSE	0.0	0.0	clinical_plus_bi	elastic_net_logreg	1	2
CYTOLYTIC_ACTIVITY	0.0	0.0	clinical_plus_bi	elastic_net_logreg	1	2
age_years	0.0	0.0	clinical_plus_bi	elastic_net_logreg	1	2
clinical_t_stage_T0	0.0	0.0	clinical_plus_bi	elastic_net_logreg	1	2
grade_Indeterminate	0.0	0.0	clinical_plus_bi	elastic_net_logreg	1	2
clinical_ajcc_stage_I	0.0	0.0	clinical_plus_bi	elastic_net_logreg	1	2
er_status_ihc_esr1_for indeterminate_N	0.0	0.0	clinical_plus_bi	elastic_net_logreg	1	2
clinical_ajcc_stage_Inflammatory	0.0	0.0	clinical_plus_bi	elastic_net_logreg	1	2
clinical_ajcc_stage_IIIC	0.0	0.0	clinical_plus_bi	elastic_net_logreg	1	2
clinical_ajcc_stage_IIIB	0.0	0.0	clinical_plus_bi	elastic_net_logreg	1	2
clinical_ajcc_stage_IIIA	0.0	0.0	clinical_plus_bi	elastic_net_logreg	1	2
clinical_ajcc_stage_IIB	0.0	0.0	clinical_plus_bi	elastic_net_logreg	1	2
clinical_ajcc_stage_IIA	0.0	0.0	clinical_plus_bi	elastic_net_logreg	1	2
clinical_nodal_status_N3	0.0	0.0	clinical_plus_bi	elastic_net_logreg	1	2
HALLMARK_UV_RESPONSE_UP	0.0	0.0	clinical_plus_bi	elastic_net_logreg	1	2
clinical_nodal_status_N2	0.0	0.0	clinical_plus_bi	elastic_net_logreg	1	2
clinical_nodal_status_N1	0.0	0.0	clinical_plus_bi	elastic_net_logreg	1	2
clinical_nodal_status_N0	0.0	0.0	clinical_plus_bi	elastic_net_logreg	1	2
clinical_t_stage_T4	0.0	0.0	clinical_plus_bi	elastic_net_logreg	1	2
clinical_t_stage_T3	0.0	0.0	clinical_plus_bi	elastic_net_logreg	1	2
clinical_t_stage_T2	0.0	0.0	clinical_plus_bi	elastic_net_logreg	1	2
clinical_t_stage_T1	0.0	0.0	clinical_plus_bi	elastic_net_logreg	1	2
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.0	0.0	clinical_plus_bi	elastic_net_logreg	1	2
HALLMARK_TGF_BETA_SIGNALING	0.0	0.0	clinical_plus_bi	elastic_net_logreg	1	2
HALLMARK_UV_RESPONSE_DN	0.0	0.0	clinical_plus_bi	elastic_net_logreg	1	2
HALLMARK_COMPLEMENT	0.0	0.0	clinical_plus_bi	elastic_net_logreg	1	2
HALLMARK_HEME_METABOLISM	0.0	0.0	clinical_plus_bi	elastic_net_logreg	1	2
HALLMARK_HEDGEHOG_SIGNALING	0.0	0.0	clinical_plus_bi	elastic_net_logreg	1	2
HALLMARK_GLYCOLYSIS	0.0	0.0	clinical_plus_bi	elastic_net_logreg	1	2
HALLMARK_G2M_CHECKPOINT	0.0	0.0	clinical_plus_bi	elastic_net_logreg	1	2
HALLMARK_FATTY_ACID_METABOLISM	0.0	0.0	clinical_plus_bi	elastic_net_logreg	1	2
HALLMARK_E2F_TARGETS	0.0	0.0	clinical_plus_bi	elastic_net_logreg	1	2
HALLMARK_DNA_REPAIR	0.0	0.0	clinical_plus_bi	elastic_net_logreg	1	2
