feature	coefficient	abs_coefficient	feature_set	model	repeat	fold
clinical_nodal_status_N2	0.0	0.0	clinical_only	elastic_net_logreg	1	3
grade_1	0.0	0.0	clinical_only	elastic_net_logreg	1	3
clinical_nodal_status_N0	0.0	0.0	clinical_only	elastic_net_logreg	1	3
clinical_t_stage_T4	0.0	0.0	clinical_only	elastic_net_logreg	1	3
clinical_t_stage_T3	0.0	0.0	clinical_only	elastic_net_logreg	1	3
clinical_t_stage_T2	0.0	0.0	clinical_only	elastic_net_logreg	1	3
clinical_nodal_status_N1	0.0	0.0	clinical_only	elastic_net_logreg	1	3
er_status_ihc_esr1_for indeterminate_P	-0.9831472226044009	0.9831472226044009	clinical_only	elastic_net_logreg	1	4
grade_3	0.6428664153520066	0.6428664153520066	clinical_only	elastic_net_logreg	1	4
er_status_ihc_esr1_for indeterminate_N	0.09836555437016127	0.09836555437016127	clinical_only	elastic_net_logreg	1	4
age_years	-0.035036423116249084	0.035036423116249084	clinical_only	elastic_net_logreg	1	4
grade_Indeterminate	0.0	0.0	clinical_only	elastic_net_logreg	1	4
clinical_ajcc_stage_I	0.0	0.0	clinical_only	elastic_net_logreg	1	4
grade_2	0.0	0.0	clinical_only	elastic_net_logreg	1	4
clinical_ajcc_stage_Inflammatory	0.0	0.0	clinical_only	elastic_net_logreg	1	4
clinical_ajcc_stage_IIIC	0.0	0.0	clinical_only	elastic_net_logreg	1	4
clinical_ajcc_stage_IIIB	0.0	0.0	clinical_only	elastic_net_logreg	1	4
clinical_ajcc_stage_IIIA	0.0	0.0	clinical_only	elastic_net_logreg	1	4
clinical_ajcc_stage_IIB	0.0	0.0	clinical_only	elastic_net_logreg	1	4
clinical_ajcc_stage_IIA	0.0	0.0	clinical_only	elastic_net_logreg	1	4
clinical_nodal_status_N3	0.0	0.0	clinical_only	elastic_net_logreg	1	4
clinical_t_stage_T0	0.0	0.0	clinical_only	elastic_net_logreg	1	4
clinical_nodal_status_N2	0.0	0.0	clinical_only	elastic_net_logreg	1	4
grade_1	0.0	0.0	clinical_only	elastic_net_logreg	1	4
clinical_nodal_status_N0	0.0	0.0	clinical_only	elastic_net_logreg	1	4
clinical_t_stage_T4	0.0	0.0	clinical_only	elastic_net_logreg	1	4
clinical_t_stage_T3	0.0	0.0	clinical_only	elastic_net_logreg	1	4
clinical_t_stage_T2	0.0	0.0	clinical_only	elastic_net_logreg	1	4
clinical_t_stage_T1	0.0	0.0	clinical_only	elastic_net_logreg	1	4
clinical_nodal_status_N1	0.0	0.0	clinical_only	elastic_net_logreg	1	4
er_status_ihc_esr1_for indeterminate_P	-0.6076701593055719	0.6076701593055719	clinical_only	elastic_net_logreg	1	5
er_status_ihc_esr1_for indeterminate_N	0.4328798033353925	0.4328798033353925	clinical_only	elastic_net_logreg	1	5
grade_3	0.4098473116441268	0.4098473116441268	clinical_only	elastic_net_logreg	1	5
grade_2	-0.28090594241683786	0.28090594241683786	clinical_only	elastic_net_logreg	1	5
age_years	-0.1594875822714776	0.1594875822714776	clinical_only	elastic_net_logreg	1	5
clinical_t_stage_T4	-0.12767707023646044	0.12767707023646044	clinical_only	elastic_net_logreg	1	5
