SYMBOL	logFC	AveExpr	t	P.Value	adj.P.Val	B	ENTREZID
HDHD5	0.426063775704145	10.0636743721123	4.8921643686203	1.64058953901365e-06	0.000102844456726918	4.84519209864145	27440
CELSR1	-0.994960039507492	8.53434095689116	-4.88705845739879	1.68042710935357e-06	0.00010483774678881	4.82280765619944	9620
HDAC2	0.606290072336401	10.4749275254354	4.87687280247954	1.76270800649225e-06	0.000109149276936487	4.77821254073596	3066
PRKX	0.55334712012537	9.00318277321089	4.87644134815151	1.76627789198548e-06	0.000109149276936487	4.77632527310003	5613
VLDLR	0.599171636998706	8.55590885412925	4.87514850296229	1.77701685077939e-06	0.000109294918477889	4.77067095528014	7436
CREBL2	-0.393694978698288	10.2089680446769	-4.87305994059846	1.79449874848423e-06	0.000109851967988196	4.76153921216082	1389
UGP2	0.382770818490681	11.6067298261905	4.8707009353898	1.81444410010933e-06	0.000110553909445447	4.75122900458824	7360
IDO1	0.86836502043195	8.87784155893878	4.86692317662059	1.84683170094393e-06	0.000111766648632689	4.7347268318859	3620
TPSAB1	-0.853736890107569	8.59729473102041	-4.86638493361575	1.85149138006448e-06	0.000111766648632689	4.73237653729041	7177
SPG11	-0.400505186666337	10.041665336602	-4.86468053887725	1.86632168992691e-06	0.000112142712050493	4.72493557067812	80208
MAPT	-1.05823808691259	9.16665644061224	-4.86017455068199	1.90608389469024e-06	0.000113750660404023	4.70527417125929	4137
