ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
KEGG_CELL_CYCLE	KEGG_CELL_CYCLE	21/142	115/4317	0.182608695652174	5.55156154317208	9.1230061110346	6.38457032020829e-11	8.68301563548328e-09	8.53516242806793e-09	CDKN2A/TFDP1/TTK/MCM2/MCM6/CDC20/MCM5/SKP2/CCNE1/HDAC2/CCNA2/BUB1/CCNB2/PLK1/CHEK1/MAD2L1/CDC45/RBL1/CDK1/CCNE2/MYC	21
KEGG_P53_SIGNALING_PATHWAY	KEGG_P53_SIGNALING_PATHWAY	9/142	62/4317	0.145161290322581	4.41310767832803	4.99174857522581	0.000160551029361115	0.0109174699965558	0.010731568804664	CDKN2A/PERP/CCNE1/RRM2/CCNB2/CHEK1/CDK1/CCNE2/SERPINB5	9
KEGG_OOCYTE_MEIOSIS	KEGG_OOCYTE_MEIOSIS	11/142	95/4317	0.115789473684211	3.52016308376575	4.5802373510319	0.000241306023649774	0.0109392064054564	0.0107529350889548	CDC20/CCNE1/PRKX/BUB1/CCNB2/PLK1/CALML5/MAD2L1/CDK1/CCNE2/AURKA	11
KEGG_CHEMOKINE_SIGNALING_PATHWAY	KEGG_CHEMOKINE_SIGNALING_PATHWAY	14/142	171/4317	0.0818713450292398	2.48900420064245	3.6638356113777	0.00130696666437471	0.0444368665887401	0.0436802016777864	PRKX/CXCL10/CX3CL1/CCL2/PLCB4/CCL8/CCL3/CXCL11/CCL4/CCL18/CXCL2/CCL7/CXCL9/CXCL13	14
